id,employee_id,username,email,password,first_name,last_name,phone,address,gender,date_of_birth,role,status,department,department_id,designation,designation_id,position,grade,skills,salary,hire_date,created_at,updated_at
15,EMP10014,reedmiguel,michaelwelch@example.net,D07WwUv@%sFk,Rodney,King,640.278.2631,"080 Rachel View
South Jessicaton, NM 13758",Female,2000-05-25,admin,active,Accounting technician,39,Public affairs consultant,124,Theatre stage manager,2.0,"[86.0, 86.0]",15337,2018-10-09,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
16,EMP10015,nancythomas,tjuarez@example.com,*@NRutWd)7v7,Jason,Reese,5127988067,"17773 Taylor View
Christopherport, KS 97350",Female,1986-01-29,admin,active,"Nurse, adult",6,Solicitor,20,International aid/development worker,2.0,"[295.0, 295.0]",15337,2020-03-22,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
17,EMP10016,newmanjohn,robin20@example.com,_$G)tHJtf71J,Todd,Saunders,(746)585-7227,"61655 Joshua Stream
East Hannahfort, WV 75880",Female,1978-04-19,admin,active,Nutritional therapist,39,Insurance claims handler,124,Contracting civil engineer,2.0,"[86.0, 86.0]",15337,2023-05-25,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
18,EMP10017,andrea05,martinezelizabeth@example.net,#F3MYjDdeDL!,Robin,Lambert,(840)893-2622,"625 Fowler Lock
East Jeffreytown, NH 19107",Female,1990-08-24,admin,active,Secretary/administrator,52,"Pharmacist, community",329,General practice doctor,3.0,"[86.0, 89.0, 86.0, 86.0]",14549,2019-01-06,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
19,EMP10018,johnsonnathan,emiller@example.com,xdP4jUc$Ya&F,Nathan,Wood,+1-242-224-3601x40387,"20431 Williams Track
East Melvinmouth, SD 50138",Male,1976-07-06,admin,active,Further education lecturer,39,Communications engineer,124,Astronomer,2.0,"[93.0, 93.0]",15337,2017-07-01,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
20,EMP10019,ryan35,terrellkimberly@example.net,(4IRb*iWxmNS,Brandi,Craig,001-637-465-8644,"774 Jeffrey Square Suite 406
Mcclureburgh, KY 68201",Female,1984-10-26,admin,active,Osteopath,7,"Engineer, petroleum",43,Civil Service fast streamer,2.0,[291.0],15337,2018-05-15,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
21,EMP10020,kharris,kaylapollard@example.org,$H93JT_yo%Hl,Kevin,Peterson,631-292-4758x0116,"512 Randy Prairie Apt. 826
Graychester, NE 92609",Female,1994-09-17,employee,active,Operations geologist,39,Consulting civil engineer,125,"Administrator, sports",3.0,"[86.0, 8.0]",14549,2023-12-09,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
22,EMP10021,wrichardson,michellemaxwell@example.com,(OVLyfLT*6jc,Diane,Thornton,2137011113,"38262 Adams Road Suite 755
North William, NC 30007",Female,1982-10-19,admin,active,Computer games developer,39,"Engineer, maintenance",124,Dancer,2.0,"[86.0, 86.0, 86.0]",14273,2022-03-19,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
23,EMP10022,barnesamber,adam04@example.org,iJf&Epfe8D48,Kevin,Hobbs,001-675-353-1412x046,"0240 Wilson Ports
Port Robert, MP 33430",Female,1986-01-02,employee,active,Stage manager,39,Occupational psychologist,125,Publishing copy,3.0,"[86.0, 86.0]",15040,2018-04-26,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
24,EMP10023,ohernandez,andre52@example.org,*!(8dWyI#o#N,Jessica,Anderson,001-847-382-0253x967,"5787 Lane Motorway Apt. 440
Port Michael, NE 68454",Male,1999-12-24,employee,active,Transport planner,39,Estate agent,124,Museum/gallery exhibitions officer,2.0,"[14.0, 14.0, 242.0]",15585,2023-01-01,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
25,EMP10024,rebecca70,birddaniel@example.com,M9sTzUax$s8+,John,Moyer,698.603.9351,"5057 Isabel Flats Suite 067
Williamsborough, MD 14128",Male,1975-05-23,admin,active,Homeopath,406,Learning disability nurse,730,Social worker,2.0,[297.0],15337,2024-12-30,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
26,EMP10025,amandariley,emilypeterson@example.net,Zh3Gu0KwO)7H,Kyle,Smith,391-977-5937x7279,"03632 Anthony Plaza
Randallside, DC 34042",Male,1996-06-13,admin,active,"Producer, radio",39,"Therapist, art",124,Ambulance person,2.0,"[312.0, 92.0, 312.0]",15337,2019-07-03,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
27,EMP10026,williamwright,higginsalexander@example.net,M#7BBcCu5^p#,Andrea,Shaffer,+1-484-362-8745x9551,"3360 Meghan Corners Apt. 605
Justinbury, AK 74877",Female,1997-05-02,admin,active,Field trials officer,39,Forensic scientist,124,"Presenter, broadcasting",2.0,"[86.0, 86.0]",15337,2017-11-06,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
28,EMP10027,jefferytaylor,kevin77@example.com,&^v4Cp)V*yML,Nathan,Cervantes,211.450.0652,"1170 Bailey Ranch Suite 881
Port Nicholas, OK 51921",Female,1995-08-02,admin,active,"Geneticist, molecular",39,"Engineer, aeronautical",124,Banker,2.0,"[86.0, 86.0]",15337,2015-11-04,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
29,EMP10028,jamie97,jbeasley@example.org,Bi7V#Tod$6B(,Sierra,Greene,681-454-6866x858,"049 Christopher Wall Suite 446
South Scottborough, OR 33994",Female,1991-10-19,employee,active,Office manager,39,Child psychotherapist,125,Fish farm manager,3.0,"[86.0, 86.0]",14549,2023-06-22,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
30,EMP10029,justin30,elizabethfranklin@example.net,F_AWoh19fy94,James,Evans,(548)270-2942x7111,"0861 Williams Alley Suite 013
Port Melissaview, ND 46743",Female,1987-02-14,admin,active,Public house manager,39,Industrial/product designer,125,"Scientist, forensic",3.0,"[86.0, 89.0]",14549,2021-11-17,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
31,EMP10030,brettsimpson,fyoung@example.com,Wc_5BASzxaqS,James,Wiley,372.205.6876x77141,"5498 Stephanie Mills Suite 381
South Kyle, AR 96625",Female,1979-11-20,employee,active,"Engineer, maintenance (IT)",39,Retail buyer,124,"Engineer, automotive",2.0,"[86.0, 86.0]",15337,2020-12-04,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
32,EMP10031,sampsonomar,suzannesantos@example.org,nCm2GKaBB^yZ,Tammy,Wheeler,828.452.7017,"84489 Stephanie Centers Suite 310
New Marc, PA 75370",Female,1994-10-22,employee,active,Product designer,39,Logistics and distribution manager,124,Electronics engineer,2.0,"[86.0, 86.0]",15337,2017-09-17,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
33,EMP10032,jburton,kellyhernandez@example.org,2&N3Jh3mJKOf,Paige,Sullivan,+1-719-556-1305x32335,"4266 Rodriguez Keys
Suarezside, VA 18082",Female,1988-11-08,admin,active,Product designer,39,Further education lecturer,124,"Designer, multimedia",2.0,"[86.0, 89.0]",15337,2024-05-27,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
34,EMP10033,tmarsh,taylorlaura@example.com,m*6x*rtkUjE%,Misty,Morris,648.366.2395x013,"31838 Matthews Cliffs Apt. 129
North Rachelhaven, PA 15771",Male,1990-11-26,employee,active,Research scientist (life sciences),39,Physiological scientist,124,Television camera operator,2.0,"[93.0, 93.0]",15585,2024-01-29,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
35,EMP10034,christopher93,hjoseph@example.com,5$9AXy8NlP0W,James,Hogan,(211)867-5549,"434 Romero Wall
Carolburgh, TN 78737",Female,1984-11-27,employee,active,Agricultural consultant,39,Exercise physiologist,125,Solicitor,3.0,"[86.0, 86.0]",15040,2017-11-05,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
36,EMP10035,baileykara,larryhampton@example.net,083Ji$uMw@5Z,Shane,Gutierrez,7596421392,"PSC 2782, Box 4380
APO AP 23921",Female,1976-07-24,admin,active,Mining engineer,39,Hydrographic surveyor,124,Toxicologist,2.0,"[86.0, 86.0]",15337,2016-07-12,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
37,EMP10036,ldudley,erica70@example.org,LEeEv_%qAc2%,Edward,Lee,001-957-343-2619x2221,"83009 Clark Turnpike
Port Dale, VA 27031",Female,1990-04-17,admin,active,Community education officer,39,Health visitor,125,Building services engineer,3.0,[243.0],14549,2019-11-18,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
38,EMP10037,pattersondavid,amyjacobson@example.net,!j&CGNT^B1OZ,David,Klein,(859)849-8465,"442 Luis Lakes Apt. 318
South Jeremiahtown, MS 44613",Female,1996-02-07,employee,active,Corporate investment banker,39,Health and safety adviser,125,Insurance underwriter,3.0,"[8.0, 86.0]",14549,2021-05-15,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
39,EMP10038,michael86,michaelsalazar@example.org,J1p(NOdVL41P,Taylor,Cohen,+1-912-800-8147x918,"9863 Higgins Hills Apt. 330
Richardsonville, GU 55235",Male,1989-02-17,admin,active,Herpetologist,39,Air traffic controller,124,Aid worker,2.0,"[242.0, 163.0]",15585,2015-07-17,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
40,EMP10039,susan60,rebecca07@example.org,0$5tMJ)q%C@8,Christopher,Ballard,756-778-8438x48092,"6533 Stephens Village Suite 910
Leehaven, MS 46095",Female,1993-02-20,employee,active,Human resources officer,39,"Surveyor, building",124,Landscape architect,2.0,"[86.0, 89.0, 86.0]",15585,2019-06-06,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
41,EMP10040,sarah90,nina45@example.net,#TufePvnb9Cv,Hunter,Sanchez,255.608.7110x9479,"PSC 2132, Box 6053
APO AE 78981",Female,1997-03-26,employee,active,"Designer, ceramics/pottery",39,Risk manager,124,"Surveyor, commercial/residential",2.0,"[86.0, 86.0]",15337,2020-04-29,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
42,EMP10041,santiagochristopher,taylor22@example.com,*P2tA+NpeMkz,Donald,Chase,863.712.2410,"770 Beverly Green Suite 862
Lopeztown, VA 01758",Female,1997-07-18,employee,active,"Administrator, local government",39,"Geologist, wellsite",124,Architect,2.0,"[86.0, 86.0]",15585,2016-10-20,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
43,EMP10042,qsmith,mfranklin@example.net,6Ub&tkZm8v&N,Matthew,Morris,607-897-9543,"2989 Matthew Plaza
Abigailton, PA 06114",Female,1975-04-11,admin,active,Trade union research officer,39,Barrister,125,"Education officer, community",3.0,"[86.0, 86.0]",14549,2021-10-11,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
44,EMP10043,justin64,leahray@example.org,1Q7nz1WvT)zh,Jill,Newton,(715)247-7767x8587,"689 Candace Trace Suite 707
Combsberg, MA 47263",Female,1998-08-13,employee,active,"Psychologist, prison and probation services",52,"Surveyor, minerals",914,"Designer, multimedia",3.0,[286.0],14549,2016-01-11,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
45,EMP10044,moodydouglas,wsanders@example.org,@#1$BCsIVTW0,Mark,Woodard,(736)895-3042x7631,"0927 Garcia Curve Suite 820
Colemouth, IN 56608",Female,1979-03-23,employee,active,"Engineer, manufacturing systems",39,"Librarian, public",124,Warden/ranger,2.0,"[86.0, 86.0, 242.0]",15337,2023-09-08,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
46,EMP10045,greenallison,patrickjimenez@example.com,1bvG+Vpa@2yq,Samantha,Harvey,(692)536-0661,"7695 Todd Ranch
Lake Markchester, MP 52744",Female,1977-04-21,employee,active,Solicitor,6,Arts administrator,20,Investment analyst,2.0,"[295.0, 295.0, 295.0]",15337,2019-08-12,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
47,EMP10046,pamelakrueger,knightanthony@example.org,*Wceo7ek+(7i,Teresa,Clements,(350)835-4133,"580 Carla Crest
New Jennifer, WI 67799",Female,1995-02-05,admin,active,Advertising account executive,39,Art therapist,125,Paediatric nurse,3.0,"[93.0, 93.0]",15040,2023-11-04,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
48,EMP10047,evanpowell,joseph73@example.com,wVS#6SoBwLNC,Brandy,Jackson,834-572-2472x357,"0843 Jessica Corner
Martinezburgh, GU 39623",Male,1980-03-08,admin,active,Commissioning editor,39,Television camera operator,124,Further education lecturer,2.0,"[93.0, 93.0, 163.0]",14273,2022-07-29,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
49,EMP10048,xdixon,nclark@example.com,^&7q$vxr6vSq,Christina,Perry,001-397-486-4451x1264,"3506 Hernandez Fall Apt. 236
South Amandaside, KY 47161",Male,1999-07-03,employee,active,Dealer,5,Museum/gallery conservator,544,Personnel officer,3.0,[294.0],14549,2018-12-22,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
50,EMP10049,cochranmatthew,bettyjohnson@example.net,#wn*h6CfDzWQ,Madison,Hobbs,001-273-555-9610x6527,"19615 Richard Fords Apt. 343
Mclaughlinmouth, GU 43416",Female,1990-02-20,admin,active,Dramatherapist,39,Contractor,124,Hotel manager,2.0,"[89.0, 86.0, 86.0]",14273,2017-03-21,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
51,EMP10050,daniel93,joseph19@example.com,pV1UHkcD!ncZ,Susan,Sharp,+1-255-653-6452x37049,"9489 Mary Land Suite 914
Schmidtstad, AK 80081",Female,1985-10-17,employee,active,Ambulance person,5,Forensic psychologist,277,Corporate investment banker,4.0,[294.0],13405,2019-09-27,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
52,EMP10051,sandersalyssa,sarahhartman@example.org,$M40*q1jm!$J,Daniel,Thompson,2316544918,"1444 Daniel Rapid
Denisemouth, AR 79186",Male,1991-02-02,employee,active,"Scientist, research (physical sciences)",39,Exercise physiologist,124,Product manager,2.0,"[163.0, 163.0]",15585,2017-07-23,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
53,EMP10052,nicoleallison,camachoalexandra@example.com,BpK@tUa1X@57,Kirsten,Newton,663.230.4511x660,"981 Clark Crescent
Wardhaven, NY 91265",Female,1994-11-13,admin,active,Adult guidance worker,39,Purchasing manager,125,"Investment banker, corporate",3.0,"[93.0, 93.0, 93.0]",14549,2024-05-20,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
54,EMP10053,janicerandall,danscott@example.com,^g6Lgv$gSoJq,Mark,Henderson,719.629.8647x01294,"177 Michael Centers
West Lisaland, MA 14506",Female,1991-11-23,admin,active,Marine scientist,39,"Scientist, forensic",125,Air broker,3.0,"[243.0, 86.0]",15040,2020-10-31,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
55,EMP10054,kylegallagher,rhonda60@example.org,ll5gDigO!icX,Stephanie,Moore,(393)592-1931x18313,"7082 Rivera Camp Suite 048
Lake Antonio, MO 35028",Male,1994-12-06,admin,active,Trading standards officer,39,Tourism officer,124,Politician's assistant,2.0,"[242.0, 8.0]",15639,2017-04-20,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
56,EMP10055,alexanderholder,david07@example.com,P^pRHSWcxN_0,Melissa,Farley,460.528.3087,"42452 Martinez Isle Apt. 925
Josephchester, OR 89803",Male,1998-07-09,employee,active,Corporate treasurer,207,Arts development officer,1471,Product designer,3.0,[nan],32600,2018-05-21,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
57,EMP10056,fischereric,gmedina@example.com,d_1XviwSXR$Q,Frank,Hernandez,(579)348-9859,"554 Young Stream Suite 138
Lindsayview, WY 72502",Female,1998-11-21,admin,active,Higher education lecturer,39,Professor Emeritus,124,Museum/gallery conservator,2.0,"[86.0, 86.0]",15337,2017-02-19,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
58,EMP10057,kevinavery,thomasemily@example.net,R(9Uk4KtGpA7,Daniel,Romero,(703)558-3372x08146,"0347 Castaneda Burg
Port Scottton, TN 55414",Female,1999-06-17,employee,active,"Psychologist, prison and probation services",39,"Embryologist, clinical",124,Retail banker,2.0,"[86.0, 86.0]",15337,2020-11-02,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
59,EMP10058,williamrivera,rachelchapman@example.com,%51BlHYc(u2A,Robert,Wood,3059863395,"47233 Sean Glens Apt. 035
Russellchester, MO 20599",Female,1995-06-22,admin,active,Air cabin crew,39,"Engineer, agricultural",124,Pension scheme manager,2.0,"[86.0, 86.0]",14273,2022-12-11,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
60,EMP10059,davilanathan,jamesmann@example.net,!N&RSS(b1_Ly,Carrie,Harris,001-673-610-8514x25904,"956 Robert Mountains
Phillipsstad, VA 87298",Female,1998-03-15,employee,active,Chief Strategy Officer,39,"Therapist, occupational",125,Emergency planning/management officer,3.0,"[86.0, 86.0]",14549,2019-10-07,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
61,EMP10060,linda88,judy02@example.net,_m0H1dila*@t,Christina,Adams,001-285-836-1131x0349,"4561 Maria Greens
Tammyberg, ID 24360",Female,1994-07-06,employee,active,Community pharmacist,39,Hospital pharmacist,124,"Engineer, structural",2.0,"[86.0, 86.0]",15585,2020-09-24,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
62,EMP10061,martin13,johnsonlaurie@example.com,FVP!RT#V(!7g,Laura,Salazar,(565)594-3817x420,"35192 Melissa Ramp
Port Ricky, CA 62637",Female,1983-08-29,admin,active,Museum education officer,39,"Pilot, airline",125,Lobbyist,3.0,"[89.0, 90.0]",15040,2017-03-01,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
63,EMP10062,lauramathews,hailey32@example.org,^g0n&ohfe5WK,Darrell,Savage,794.512.6071,"09728 Dudley Village
New Jeremy, IA 98653",Female,1984-07-03,admin,active,Water quality scientist,39,Colour technologist,124,Technical author,2.0,"[93.0, 93.0]",15337,2021-11-26,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
64,EMP10063,tracy33,brendabridges@example.com,Og@efT*yi8_5,Brandi,Jones,001-616-389-4042,"864 Davidson Flats Suite 095
Juliaville, ME 90779",Female,1976-08-20,admin,active,"Surveyor, insurance",39,Diagnostic radiographer,125,Sales promotion account executive,3.0,"[86.0, 86.0]",15040,2020-05-24,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
65,EMP10064,deborahgarza,darlenewhite@example.net,(lq!peJ1z9)D,Brandon,Waters,001-993-324-9084x089,"63019 Kenneth Roads
Allenton, NY 64434",Female,1995-08-23,admin,active,Oceanographer,39,Applications developer,124,Building surveyor,2.0,"[86.0, 163.0, 86.0]",15337,2021-03-24,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
66,EMP10065,kendra84,evanseric@example.com,!XB&e6o78sW!,Fred,Adams,+1-520-916-2145x1267,"6517 Brooks Vista
Boydhaven, MS 03122",Female,1996-04-23,admin,active,Operational investment banker,39,"Therapist, horticultural",124,"Teacher, adult education",2.0,"[93.0, 93.0, 93.0]",15337,2017-09-01,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
67,EMP10066,brandyedwards,brownmelissa@example.net,4i1g7nlA%hEh,Mary,White,353-835-4537x9555,"196 Andrew Divide Suite 181
Smithside, SC 04661",Female,1989-07-05,admin,active,Multimedia programmer,52,Tour manager,329,"Psychotherapist, dance movement",3.0,"[90.0, 86.0]",14549,2015-07-10,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
68,EMP10067,darrenmason,christophergonzales@example.com,+8Wv))IC^orO,Kelsey,Mclaughlin,001-335-674-9175,"78988 Alexander Dale
Glasstown, NC 61748",Female,1985-03-24,employee,active,"Pilot, airline",52,Holiday representative,328,"Designer, television/film set",2.0,"[93.0, 109.0, 109.0, 97.0]",15337,2015-12-03,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
69,EMP10068,juliewilliams,asmith@example.org,Os6_D&TC)75r,Daniel,Mcgrath,699-691-5401x64296,"4699 Travis Spurs Suite 431
Kristieberg, CT 94015",Male,1977-11-17,admin,active,Banker,39,"Psychologist, prison and probation services",124,Data processing manager,2.0,[86.0],15639,2015-04-10,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
70,EMP10069,ycruz,wallacemichael@example.com,Iq201*cSC@DU,Laura,Faulkner,834.720.6079x729,"8329 Anderson Meadow Suite 397
East Wandatown, PW 55418",Male,1998-12-13,employee,active,Health service manager,39,Chiropodist,124,Land,2.0,"[93.0, 163.0]",15337,2018-02-02,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
71,EMP10070,jessicahess,pauldaniel@example.net,BBo%4U2m9TO5,Brenda,Taylor,+1-621-996-6996x3551,"086 Tiffany Landing Suite 001
Obrienmouth, NJ 86393",Female,1997-03-21,employee,active,"Restaurant manager, fast food",39,Hospital doctor,125,Theatre stage manager,3.0,"[93.0, 93.0]",14549,2018-03-01,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
72,EMP10071,brandoncarpenter,uholder@example.org,@3D_)ijR(OqH,Hunter,Johnson,3737142043,"728 Brandi Squares Suite 847
Davidstad, DC 91415",Male,1994-09-02,employee,active,Writer,7,Forest/woodland manager,46,Television/film/video producer,4.0,[291.0],13405,2024-12-02,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
73,EMP10072,vmckee,raymondwilliams@example.com,HpPg&YEc!4$f,Benjamin,Brown,+1-426-200-3355x1635,"287 Loretta Tunnel
Port Tracieshire, VT 21089",Female,1976-01-09,admin,active,"Social research officer, government",39,Audiological scientist,125,"Geologist, engineering",3.0,"[87.0, 86.0]",13900,2019-05-09,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
74,EMP10073,kurt39,msalas@example.net,hS3^px5N(uZV,Thomas,Montgomery,001-911-947-4366x213,"6119 Derek Spurs Apt. 122
West Vincentton, NJ 96141",Female,1977-02-01,admin,active,Marine scientist,39,"Secretary, company",124,"Lecturer, higher education",2.0,"[86.0, 86.0]",15337,2018-07-27,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
